Number,Roman_Numeral,Yoruba
529,DXXIX,Ẹdẹgbẹta ati okandinlogbon
530,DXXX,Ẹdẹgbẹta ati ogbon
531,DXXXI,Ẹdẹgbẹta ati okanlelogbon
532,DXXXII,Ẹdẹgbẹta ati ejilelogbon
533,DXXXIII,Ẹdẹgbẹta ati etalelogbon
534,DXXXIV,Ẹdẹgbẹta ati erinlelogbon
535,DXXXV,Ẹdẹgbẹta ati arundinlogoji
536,DXXXVI,Ẹdẹgbẹta ati erindinlogoji
537,DXXXVII,Ẹdẹgbẹta ati etadinlogoji
538,DXXXVIII,Ẹdẹgbẹta ati ejidinlogoji
539,DXXXIX,Ẹdẹgbẹta ati okandinlogoji
540,DXL,Ẹdẹgbẹta ati ogoji
541,DXLI,Ẹdẹgbẹta ati okanlelogoji
542,DXLII,Ẹdẹgbẹta ati ejilelogoji
543,DXLIII,Ẹdẹgbẹta ati etalelogoji
544,DXLIV,Ẹdẹgbẹta ati erinlelogoji
545,DXLV,Ẹdẹgbẹta ati arundinladota
546,DXLVI,Ẹdẹgbẹta ati erindinladota
547,DXLVII,Ẹdẹgbẹta ati etadinladota
548,DXLVIII,Ẹdẹgbẹta ati ejidinladota
549,DXLIX,Ẹdẹgbẹta ati okandinladota
550,DL,Ẹdẹgbẹta ati adota
551,DLI,Ẹdẹgbẹta ati okanleladota
552,DLII,Ẹdẹgbẹta ati ejileladota
553,DLIII,Ẹdẹgbẹta ati etaleladota
554,DLIV,Ẹdẹgbẹta ati erinleladota
555,DLV,Ẹdẹgbẹta ati arundinlogota
556,DLVI,Ẹdẹgbẹta ati erindinlogota
557,DLVII,Ẹdẹgbẹta ati etadinlogota
558,DLVIII,Ẹdẹgbẹta ati ejidinlogota
559,DLIX,Ẹdẹgbẹta ati okandinlogota
560,DLX,Ẹdẹgbẹta ati ogota
561,DLXI,Ẹdẹgbẹta ati okanlelogota
562,DLXII,Ẹdẹgbẹta ati ejilelogota
563,DLXIII,Ẹdẹgbẹta ati etalelogota
564,DLXIV,Ẹdẹgbẹta ati erinlelogota
565,DLXV,Ẹdẹgbẹta ati arundiladorin
566,DLXVI,Ẹdẹgbẹta ati erindiladorin
567,DLXVII,Ẹdẹgbẹta ati etadiladorin
568,DLXVIII,Ẹdẹgbẹta ati ejidiladorin
569,DLXIX,Ẹdẹgbẹta ati okandiladorin
570,DLXX,Ẹdẹgbẹta ati adorin
571,DLXXI,Ẹdẹgbẹta ati okanlelad orin
572,DLXXII,Ẹdẹgbẹta ati ejilelad orin
573,DLXXIII,Ẹdẹgbẹta ati etaleladorin
574,DLXXIV,Ẹdẹgbẹta ati erinlelad orin
575,DLXXV,Ẹdẹgbẹta ati arundilogorin
576,DLXXVI,Ẹdẹgbẹta ati erindilogorin
577,DLXXVII,Ẹdẹgbẹta ati etadilogorin
578,DLXXVIII,Ẹdẹgbẹta ati ejidilogorin
579,DLXXIX,Ẹdẹgbẹta ati okandilogorin
580,DLXXX,Ẹdẹgbẹta ati ogorin
581,DLXXXI,Ẹdẹgbẹta ati okanlelogorin
582,DLXXXII,Ẹdẹgbẹta ati ejilelogorin
583,DLXXXIII,Ẹdẹgbẹta ati etalelogorin
584,DLXXXIV,Ẹdẹgbẹta ati erinlelogorin
585,DLXXXV,Ẹdẹgbẹta ati arundiladorun
586,DLXXXVI,Ẹdẹgbẹta ati erindiladorun
587,DLXXXVII,Ẹdẹgbẹta ati etadiladorun
588,DLXXXVIII,Ẹdẹgbẹta ati ejidiladorun
589,DLXXXIX,Ẹdẹgbẹta ati okandiladorun
590,DXC,Ẹdẹgbẹta ati adorun
591,DXCI,Ẹdẹgbẹta ati okanlelad orun
592,DXCII,Ẹdẹgbẹta ati ejilelad orun
593,DXCIII,Ẹdẹgbẹta ati etaleladorun
594,DXCIV,Ẹdẹgbẹta ati erinlelad orun
595,DXCV,Ẹdẹgbẹta ati arundilogorun
596,DXCVI,Ẹdẹgbẹta ati erindilogorun
597,DXCVII,Ẹdẹgbẹta ati etadilogorun
598,DXCVIII,Ẹdẹgbẹta ati ejidilogorun
599,DXCIX,Ẹdẹgbẹta ati okandilogorun
600,DC,Ẹgbẹta
601,DCI,Ẹgbẹta ati okan
602,DCII,Ẹgbẹta ati meji
603,DCIII,Ẹgbẹta ati meta
604,DCIV,Ẹgbẹta ati merin
605,DCV,Ẹgbẹta ati aarun
606,DCVI,Ẹgbẹta ati mefa
607,DCVII,Ẹgbẹta ati meje
608,DCVIII,Ẹgbẹta ati mejo
609,DCIX,Ẹgbẹta ati mesan
610,DCX,Ẹgbẹta ati eewa
611,DCXI,Ẹgbẹta ati okanla
612,DCXII,Ẹgbẹta ati ejila
613,DCXIII,Ẹgbẹta ati etala
614,DCXIV,Ẹgbẹta ati erinla
615,DCXV,Ẹgbẹta ati edogun
616,DCXVI,Ẹgbẹta ati erindinlogun
617,DCXVII,Ẹgbẹta ati etadinlogun
618,DCXVIII,Ẹgbẹta ati ejindinlogun
619,DCXIX,Ẹgbẹta ati okandinlogun
620,DCXX,Ẹgbẹta ati ogun
621,DCXXI,Ẹgbẹta ati okanlelogun
622,DCXXII,Ẹgbẹta ati ejilelogun
623,DCXXIII,Ẹgbẹta ati etalelogun
624,DCXXIV,Ẹgbẹta ati erinlelogun
